word,sentences,majority voted complexity label,complex_percentage,str_idx,end_idx
اتهام,گاهشمار در اوایل سال ۲۰۰۳ به اتهام وابستگی به جبهه دموکراتیک برای آزادی فلسطین دستگیر و به ۳۰ سال زندان محکوم شد.,0,0,29,33
بعدا,او در سال ۱۹۹۶ باهمکاری یان کارلسون شرکت سل  را راه‌اندازی کرد، که بعدا در سال ۱۹۹۹ با گروه  ادغام شد و به نام   وارد بازار سهام شد و پس از آن شرکت ستورمارک  را ترک کرد.,0,40,67,70
امس,آنتی‌اکسیدان بروس امس دنهام هارمن نیتریک اکسید,1,100,18,20
دانش‌آموخته,وی دانش‌آموخته مهندسی شیمی از موسسه فناوری ماساچوست بود.,0,40,3,13
تولین,فت‌ویس پژوهشگر آمریکایی و دانشیار علوم سیاسی دانشگاه تولین است.,1,60,53,57
ضبط‌شده,آهنگ درینکی از قطعات آلبوم ساف انیمال نامزد دریافت جایزه گرمی برای بهترین رقص ضبط‌شده در سال ۲۰۱۷ شده‌است.,0,20,78,84
استودیو,موسیقی استودیو آلبوم  لیست آلبوم عنوان جزئیات تری هوس منتشر شده: فروردین سال ۲۰۱۸ تمدید پخش  لیست تمدید پخش عنوان جزئیات ساف انیمال منتشر شد: ۸ ژوئیه ۲۰۱۶ برچسب‌ها: منتشر شد فرمت: دیجیتال دانلود تک‌آهنگ,0,0,7,13
بدون,مطالعه بیشتر و دیگر رسانه‌ها ماد لوئیس موضوع کتابی است که توسط لنس وولاور زندگی نورانی ماد لوئیس و سه فیلم مستند در هیئت ملی فیلم کانادا به نام ماد لوئیس  جهان بدون سایه ۱۹۷۶، زندگی نورانی ماد لوئیس ۱۹۹۸ و من می‌توانم هنر  مانند ماد لوئیس ۲۰۰۵، یک فیلم کوتاه است که در آن یک گروه از دانش آموزان کلاس ۶ با الهام از کارهای ماد لوئیس نقاشی می‌کشند.,1,60,160,163
حوضه,بنیان‌گذاری‌های دهه ۱۸۷۰ میلادی در حوضه دریای کارائیب,0,0,35,38
سوءاستفاده,در اواسط دهه ۱۹۶۰ با چند رویداد که همزمان با هم رخ داد کازبی از سوی چند زن به انواع تجاوز جنسی و بدرفتاری و نیز سوءاستفاده جنسی از کودکان متهم شد.,0,40,112,121
انتظار,مجازات ۱۰ سال زندان و پرداخت جریمه نقدی ۲۵، ۰۰۰ دلار در انتظار اوست.,0,20,56,61
کماکان,او از سال ۱۹۸۶ استاد تاریخ معماری در دانشگاه مونیخ است و سال‌هایی را نیز به عنوان استاد مدعو در دانشگاه هاروارد و دانشگاه هلسینکی و مونترآل تدریس کرد، در سال ۲۰۱۲ بازنشسته شد اما کماکان در دانشگاه مونیخ اشتغال دارد.,0,40,179,184
مجددا,او مجددا در سال ۱۹۸۸ در نبرد پادشاهان و در سال ۲۰۰۰ در طوفان شمشیرها و در سال ۲۰۱۱ در رقصی با اژدهایان ظاهر شد.,1,60,3,7
وفات,اسلامیان اولین استاندار چهارمحال و بختیاری در دولت هاشمی رفسنجانی و پس از وفات روح‌الله خمینی، است که در تاریخ ۱۹ اردیبهشت ۱۳۶۹ خورشیدی به این سمت منصوب شد و و پس از ۲۷ ماه مسئولیت به عنوان یکی از مدیران صنعتی کشور و مدیرعامل مدیرعامل شرکت فولاد مبارکه تا سالهای بعد فعالیت مدیریتی داشته‌است.,1,80,74,77
پیوست,گابور در سال ۱۹۶۹ میلادی به ایالات‌متحده آمریکا و به دپارتمان شیمی دانشگاه ویرجینیای غربی در مرگنتاون پیوست و تا پایان عمر استاد همان دانشگاه ماند و در آنجا بازنشسته شد.,1,60,102,106
مقدس,شرح این حمله در کتاب مقدس قدیم در بخش پادشاهان ۲ اینگونه ثبت شده‌است.,1,60,21,24
یاری,افراد مشهور یزدان خان موسی خان هزاره محمداسحاق فیاض اکرم یاری خداداد عرفانی عزیز رویش سیما سمر شاه گل رضایی جاغوری مردمان هزاره,1,60,57,60
قابل‌قبول,عنوان شاه‌ساز، نخستین مرتبه برای ریچارد نویل، شانزدهمین ارل واریک به دلیل نقش موثر وی در طول جنگ رزها ایجاد گردید شاه‌ساز  عنوان یک فرد یا گروهی است که تاثیر قطعی و فراوانی در جانشینی، بر تخت نشستن یا انتصاب‌های سیاسی برخی افراد دارد و این موضوع اغلب در مواقعی به وقوع می‌پیوندد که نامزد قابل‌قبول و مورد اجماعی وجود نداشته باشد.,0,20,288,296
مقوله,شاه‌ساز می‌تواند از ابزارهای سیاسی، مالی، مذهبی و نظامی برای تاثیر در مقوله جانشینی استفاده نماید.,0,20,70,74
کاپیتان,زندگی‌نامه هوگو دومین پسر کاپیتان ژوزف لئوپولد سیگیسبو هوگو که بعدها به مقام ژنرالی نائل شد و سوفی فرانسواز تره بوشه بود.,0,20,26,32
ترکیب,و یک ترکیب که در آلبوم خود عنوان‌شده بود را در سال ۲۰۰۴ تنظیم کرد که به عنوان نمونه موسیقی برای سیستم‌عامل رایانه ویندوز ۷ مورد استفاده قرار گرفت.,1,100,5,9
روزنامه‌نگاری,زندگی‌نامه او کار نوشتن و روزنامه‌نگاری را از ۱۶ سالگی آغاز کرد و بعد به تحصیل در رشته ارتباطات پرداخت.,0,0,26,38
ضمیمه,جان درایدن شعری در تحسین این اثر نوشت که در نسخه‌های بعدی ضمیمه آن شد.,0,20,58,62
کرک,بازیگران وینسنت پرایس فرانک لاوجوی چارلز برانسون کارولین جونز فیلیس کرک پاول پیکرنی دبز گریر فرانک فرگوسن گریس لی ویتنی پل کوانا,0,0,68,70
مدل,هویت اجتماعی افراد اغلب از طریق مدل تولید و تغییر دائمی الگوی ارزش‌ها، نمادها، تاریخ، اسطوره‌ها و سنت‌هایی که میراث متمایز جوامع مختلف را تشکیل می‌دهند، شکل می‌گیرد.,0,0,32,34
تقسیم‌شده,اردوگاه به چهار خط یا بلوک تقسیم‌شده که دارای یک خیابان اصلی است.,0,40,27,35
روشنگرانه,اهتمام به ایجاد یک پایگاهی بعنوان مرکز روشنگرانه و آگاهی‌بخش و تامین نقشه‌های روستاهای ویران‌شده.,0,20,39,47
دوتایی,پروتئین ساخته‌شده توسط این ژن، در درون هسته جای دارد و به‌منظور اتصال به دی‌ان‌ای، می‌بایست با پروتئین دیگری، یک ساختار دوتایی تشکیل دهند.,1,100,120,125
وادی,سرانجام، گروهی دیگر به تقدم علم منطق فتوا می‌دهند و فراگیری آن را برای ورود به وادی فلسفه لازم می‌شمارند.,0,40,79,82
خطابه,صناعات پنج‌گانه از میان مباحث گوناگون منطق، فارابی به بحث صناعات خمس توجه بیشتری نشان می‌دهد و گویا وی نخستین کسی است که دو صنعت خطابه و شعر را به صنایع سه‌گانه ارسطویی آنالوطیقای دوم برهان، طوبیقا جدل، سوفیسطیقا مغالطه افزوده‌است.,1,60,129,133
ویرایش,آثار گرافیک معماری ۱۹۷۵، دومین ویرایش ۱۹۸۵، سومین ویرایش ۱۹۶۶، چهارمین ویرایش ۲۰۰۳، پنجمین ویرایش ۲۰۰۹.,0,20,31,36
نفی,نظریه رضایت در طول تاریخ معمولا در تضاد با نظریه حق‌الهی پادشاهان قرار داشته و استعمارگری را نفی می‌کند.,0,40,93,95
بیانیه,بیشتر شهرت آزادی‌ور در شعر، به دلیل همراهی او با جریان شعر دیگر و امضای بیانیه شعر حجم در سال ۱۳۴۸ با همراهی دیگر شاعرانی چون یدالله رویایی، پرویز اسلام‌پور و بهرام اردبیلی بود.,0,20,72,77
استراحتگاه,گویندگی برای فیلم‌های مستند ساخته دیگر کارگردانان مانند تهران درجه ریشتر ساخته پیروز کلانتری و خدایخانه ساخته فضل‌الله تاری و فیلم‌های داستانی بلور تار، مکان اخلاق و استراحتگاه از دیگر فعالیت‌های حرفه‌ای آزادی‌ور هستند.,0,40,166,175
صدرنشین,خوزه ماریا خیمنز سربالایی‌رو بانستو که در سه مرحله پیروز شده‌بود و پیش از اولانو پیراهن طلایی را به تن داشت، در مرحله بیستم نیز پیروز شد و دوباره صدرنشین ووئلتا شد.,0,0,146,152
تکنسین,دریافت‌کننده اسناد فنی اغلب کاربر محصول، مالک یا تکنسین بخش تعمیرات و نگهداری در نظر گرفته می‌شود.,0,40,49,54
سایت,هنگامی‌که آدرس یک سایت را در مرورگر خود وارد می‌کنید ابتدا آدرس میزبان طی یک درخواست  پیدا می‌شود.,1,100,18,21
مشاهیر,زندگینامه‌های عمومی انساب الاشراف کتابی است در باب تاریخ و انساب عرب و مشاهیر آن در قرن سوم هجری و توسط احمد بلاذری درگذشت ۲۷۸  ۲۷۹ تالیف شده‌است.,1,60,71,76
فهرست‌وار,نویسنده اثر معمولا کاملترین وقایع را در ابتدا ذکر می‌کند و سپس وقایع کم‌اهمیت‌تر را به صورت فهرست‌وار بیان می‌نماید.,0,40,92,100
بی‌فایده,در قدم بعدی، خلفای مستقر در بغداد بر این امر واقف بودند که امکان مدیریت و تسلط کامل بر سرزمین‌های وسیع شرقی، از طریق نظارت مرکز ممکن نیست و ارسال پیاپی لشکر بدانجا نیز، علاوه بر بی‌فایده بودن، موجب فشاری بر خلافت می‌گردید که به همین علت حکومت طاهریان را بر نواحی شرقی تایید می‌کردند، زیرا آنان از نفوذ و محبوبیت محلی برخوردار بودند و توانایی اعاده قدرت و امنیت بر آن نواحی را داشتند و علاوه بر آن بیش از دیگران مورد وثوق و اعتماد بودند و وفاداری خود را به دفعات و در طی شورش‌ها و حوادث متعدد ثابت کرده بودند.,0,40,178,185
توافق‌نامه,بنیامین نتانیاهو، نخست‌وزیر اسرائیل، در آوریل ۲۰۱۸ مدارکی را منتشر کرد که به گفته او نشان از ادامه پروژه آماد پس از توافق‌نامه برجام دارد.,1,80,116,125
ترورشده,سیاستمداران ترورشده اهل جمهوری آذربایجان,1,80,12,18
جلسات,جمهوری صحرا همچنین میهمان جلسات جنبش غیرمتعهدها بوده‌است.,0,20,26,30
بازنویسی,این رمان شامل مقدمه‌ای است که نویسنده توضیح می‌دهد نخست این رمان را به‌صورت فیلم‌نامه نوشته و سپس از روی فیلم‌نامه رمان را بازنویسی کرده است.,0,40,123,130
چشم‌بند,پیش‌داستان  هنگامی‌که فیلم‌نامه‌ی چشم‌بند را نوشتم و هیچ امیدی نداشتم که نرود کنار فیلم‌نامه‌های نوشته شده‌ی قبلی و خاک نخورد تصمیم گرفتم از روی آن رمانی اقتباس کنم که شد روزگار شیرین.,0,40,34,40
بی‌پایان,انگار که در کاخ دوشین است و درگیر یکی از بحث‌های بی‌پایان همیشگی، همان‌طور هیجانی و شر و شوری عصبانی‌طور پراند که:   نه، کم نیست به شرط این‌که بالای بهشت، جهنم نباشه چگونگی نوشتن مصطفی عزیزی در مقاله‌یی شرح نسبت مفصلی در مورد چگونگی شکل‌گیری ایده‌ی اولیه در بند دو الف و نوشتن آن به صورت فیلم‌نامه در ذهن و سپس نوشتن فیلم‌نامه و اقتباس از آن به صورت رمان در بند هشت زندان اوین داده است.,0,40,49,56
اوست,رام سینها با دیدن آرتی کودکی‌اش را به یاد می‌آورد و متوجه می‌شود که بالو دوست زمان کودکی اوست که به او در تحصیل کمک کرده است.,0,20,89,92
تصور,به نظر می‌رسد این پروجکشن‌های سروتونرژیک به هیپوتالاموس نیز به‌طور خاص به این موضوع مرتبط باشند، به طوری که تصور می‌شود افزایش سیگنال دهی سروتونرژیک معمولا باعث کاهش مصرف غذا می‌شود که نشانگر آن فنفلورامین است، اما زیرنوع‌های دیگر گیرنده‌ها می‌توانند منحصر به فردتر نیز باشند.,1,60,108,111
نواختن,به منظور رسیدن به چنین رتبه‌ای به یک زن از دوران کودکی در زمینه مراسم چای ژاپنی، ایکبانا گل‌آرایی ژاپنی، خوش‌نویسی، ادبیات کلاسیک و نواختن سازهای موسیقی و رقص و آواز آموزش داده می‌شد.,0,40,132,137
ثانوی,امنیت آی گپ از دو کلید  استاندارد رمزنگاری پیشرفته برای رمزگذاری متقارن استفاده می‌کند، کلید نخست در نسخه مخصوص کاربر کلاینت و کلید ثانوی از سمت سرور به سمت کاربر ارسال می‌شود که کاربر با ترکیب دو کلید، کدی بصورت تصادفی را تولید و به سمت سرور ارسال می‌کند، و سرور از ان پس کلیه پیام‌های این کاربر را با کلید ارسال‌شده رد و بدل می‌کند.,0,40,132,136
پرکننده,بزرگراه هیدروژن بزرگراه هیدروژن عبارت است از زنجیره ابزارهای پرکننده ایستگاه‌های هیدروژن و دیگر فراسازه‌های در امتداد آن مانند راه‌ها و بزرگراه‌ها که اجازه می‌دهند خودروهای هیدروژنی سفر کنند.,1,80,61,67
فیلم‌برداری‌شده,فیلم‌های فیلم‌برداری‌شده در ساسکس شرقی,1,60,9,23
لون,فیلم‌های فیلم‌برداری شده در لون پاین، کالیفرنیا,1,100,28,30
شرکت‌کنندگان,ویلیام صوری اسامی شرکت‌کنندگان در این شورا را ثبت نموده‌است.,1,60,18,29
قزاقخانه,در ۱۲۷۴ خورشیدی ۱۳۱۳ قمری با درجه یاوری در قزاقخانه استخدام شد.,0,0,43,50
حقیقی,نروژی‌ها گنجینه‌ها و عتیقه‌جات بسیاری بدست آوردند از جمله، تراشه‌ای حقیقی از صلیبی که عیسی مسیح بر آن به صلیب کشیده شده بود.,0,20,68,72
پیشوا,کمپانی در سال ۱۸۱۸ نیز، با شکست مراتا در سومین نبرد انگلستان و مراتا و برکناری پیشوا قلمروی وی را متصرف گردید.,0,40,79,83
فرم‌هایی,بونتکو در دهه‌های ۱۹۶۰ و ۱۹۷۰ مجسمه‌های انتزاعی ساخت و فرم‌هایی به شکل ماهی، گیاه و گل پلاستیکی ساخته‌شده با خلاء را در دهه ۱۹۷۰ خلق کرد.,1,100,55,62
انتگرال,برای  نقطه در فضای  بعدی:     ۱   ۲     ۱، ۲  سپس انتگرال همبستگی   به صورت زیر محاسبه می‌شود:        ۲   که  تعداد کل جفت نقاطی می‌باشد که فاصله بین آنها کمتر از است.,0,20,50,56
قوزک,این رباط در بالا به لبه پایینی قوزک داخلی می‌چسبد و در پایین به استخوان‌های قاپ تالوس، استخوان پاشنه کالکانئوس و استخوان ناوسان ناویکولار متصل می‌شود و خود از قسمت‌هایی تشکیل شده‌است.,0,40,31,34
پیکر,وی در پیروی از نظریه ارسطویی، درباره همبستگی میان ماده و صورت، روان یا نفس انسان را نیز صورت پیکر ارگانیک، یعنی تن می‌داند.,1,60,93,96
مداخله,درگیری‌های مرزی با مداخله عربستان در جنگ داخلی یمن ضد حوثی‌ها و ارتش خواستار عبدالله صالح روی داد.,0,40,19,24
حداکثر,اوروس با حداکثر سرعت ۳۰۵ کیلومتر بر ساعت و شتاب صفر تا صد ۳ ٫ ۶ و صفر تا دویست ۱۲ ٫ ۸ ثانیه‌ای، سریعترین خودروی شاسی‌بلند جهان به شمار می‌رود.,0,40,9,14
ناشناس,اولین و مشهورترین اثر جان تالند مسیحیت مرموز نیست نام دارد که در سال ۱۶۹۶ به‌صورت ناشناس به چاپ رسید.,0,0,82,87
دلهره,محتوای لری آلبوم بر روی موضوعاتی مانند عشق و دلهره سخن می‌گوید، در حالی که آهنگ‌هایی مانند هاوانا به میراث کوبا اهمیت می‌دهد.,0,40,45,49
سنسور,محل فرود هامونه الیسیوم دومین منطقه بزرگ آتشفشانی در مریخ در نظر گرفته‌شده که در آن‌جا با بکار انداختن یک سنسور و یک پروب دما و همچنین انجام آزمایش علمی رادیویی برنامه مطالعه ساختار داخلی مریخ انجام خواهد شد.,1,80,106,110
درحقیقت,فرایند حسابداری منابع انسانی درحقیقت درخصوص گسترش استاندارد‌ها و اصول حسابداری سرمایه‌های انسانی بحث می‌کند تااینکه به سازمان‌ها نسبت به اندازه‌گیری دقیق ارزش منابع انسانی کمک کند.,1,100,29,35
سواحل,این ناوگان که در سال ۲۰۱۱ منحل شده بود، قرار است پس از احیا، مسئولیت قلمرو شمال اقیانوس اطلس و سواحل شرقی آمریکا را به عهده بگیرد.,0,20,95,99
گفته‌می‌شود,او داستان را جز به جز ذکر می‌کند و حکایت‌هایی که در گزارش اعدام حسنک گفته‌می‌شود در خدمت مقاصد تعلیمی و اخلاقی است.,0,0,69,79
پهن,تریلیوم قرمز یک گل تکی به رنگ بنفش مایل به قرمز تیره است و دارای ۳ برگ پهن و لوزی شکل می‌باشد.,0,40,71,73
مناره,میل کرات نام یک مناره تاریخی در ۲۵ کیلومتری جنوب تایباد در استان خراسان رضوی است که بر بالای تپه‌ای نسبتا بلند در کنار گورستان روستایی به همین نام قرار دارد.,0,0,16,20
قابل‌مشاهده,این بنا با ارتفاع ۲۵ متر و محیط قاعده ۲۰ متر از فاصله ۸ کیلومتری قابل‌مشاهده است.,0,40,65,75
هشت‌ضلعی,میل کرات که در سال ۱۳۱۰ به شماره ۱۲۳ در فهرست آثار ملی ایران ثبت‌شده، ساختاری دو قسمتی شامل بخش زیرین به شکل هشت‌ضلعی دارد و بخش بالایی آن به صورت استوانه‌ای و از آثار دوره سلجوقی است.,0,40,109,116
آجر,بنا تماما از آجر با ملات ماسه و گچ ساخته شده‌است.,0,40,13,15
ماهنامه,جوایز جایزه اول بینال نقاشی پکن ۲۰۰۳  جایزه اول نمایشگاه نخستین دوسالانه بین‌المللی نقاشی جهان اسلام ۱۳۷۹ نمایشگاه‌های انفرادی ۱۸ خرداد ۶۶ گالری سیحون ۱۰ شهریور ۶۷ موزه هنرهای معاصر تهران ۲۶ اردیبهشت ۶۹ گالری سیحون بهار ۶۹ گالری سیحون ۲۳ مهر ۷۰ گالری سیحون ۱۹ دی ۷۱ گالری سیحون ۲۳ اردیبهشت ۷۳ منزل شخصی ۱۲ آبان ۷۴ منزل شخصی ۱۲ اردیبهشت ۷۶ منزل شخصی ۷ اردیبهشت ۸۲ گالری برگ ۱۰ آبان ۸۵ گالری الهه ۲۴ شهریور ۸۶ گالری گلنار ۵ دی ۸۷ گالری ماه مهر ۶ اردیبهشت ۹۲ گالری بوم ۸ آذر ۹۵ گالری ماه مهر ۵ آذر ۹۵ نگارخانه هور ۱۴ مهر گالری ایرانشهر برای مطالعه بیشتر اسفند ۷۱ ماهنامه دنیای سخن  ص ۱۱۰ نقد نمایشگاه نصرت اله مسلمیان احمدرضا دالوند زمستان ۷۸ فصلنامه طاووس  ص ۲۱۵ تاثیر جنگ بر نقاشی معاصر  گفتگو با آیدین آغداشلو، نصرت اله مسلمیان و حسین خسروجردی ۱۶ اردیبهشت ۹۲ روزنامه شرق  ص ۹ آرمانگرایی و نقاشی علیرضا سمیع‌آذر پاییز ۹۳ فصلنامه نقش مایا  ص ۷ تحلیل تفکر زیبایی‌شناختی کلیت‌های آگاه و زمان‌مند محمد نعیما دکتر امیراشرف آریان پور دکتر بهنام جلیلی جعفری,0,0,560,566
تخلص,این کتاب توسط نویسنده‌ای به نام انتظامی ساخته شده‌است که یک تخلص هنری است و تصاویر عمدتا توسط هنرمندان درباری از جمله نقاش عثمان انجام شده‌است.,0,40,60,63
آبیاری,سرزمین خوزستان نه فقط دارای اراضی حاصلخیز و زرخیز رسوبی است، بلکه آبیاری این منطقه به بهترین طرق، فراهم گردیده است، بطوری که این منطقه از ادوار خیلی قدیم به مناسبت وضعیت این رودخانه‌ها و مجاری متعدد مقام مهم و بزرگی را در تاریخ دارا بوده است.,0,40,66,71
دز,د رود دز سرچشمه رود دز از کوه‌های لرستان و استان مرکزی است و شامل آبهای معدنی بسیار و از کنار شهرستان دزفول عبور نموده و در نزدیکی‌های شوشتر به شاخه شطیط وارد شده و از طریق شاخه شطیط در حوالی بندقیر به کارون ملحق می‌گردد.,0,20,6,7
آلبوم‌های,او در سال ۱۳۷۹ برای اولین بار به عنوان پیانیست با گروه کمان به روی صحنه رفت و تا به امروز به عنوان نوازنده، آهنگ‌ساز و تنظیم‌کننده در برخی از آلبوم‌های پرفروش پاپ ایفای نقش کرده است.,0,0,142,150
توطئه‌چینی,در این فصل، کراستی دلقک بعد از فوت پدرش بازنشسته می‌شود؛ هومر و بارت سعی می‌کنند مشکلات پدر و پسری‌شان را به روش خودشان حل کنند؛ مارج به ساندویچ‌فروشی روی می‌آورد؛ سیمپسون‌ها در قسمت مخصوص هالووین نسخه قدیم خودشان را ملاقات می‌کنند؛ بارت برای از بین بردن اعتبار معلم کلاس چهارم خود توطئه‌چینی می‌کند؛ هومر با مشکلات میان‌سالی روبه‌رو می‌شود و شخصیت‌های فیوچراما در قسمت سیمپسوراما با آمدن به اسپرینگ‌فیلد، با سیمپسون‌ها ملاقات می‌کنند.,0,40,282,291
جت,در این مکان می‌توان انواع ورزش‌های آبی مانند جت اسکی، شنا و قایق‌سواری را انجام داد.,0,40,45,46
مجلدات,از پایانیانی، افزون بر مجلدات مرتبط به کودکان و زنان، تاکنون ۶ جلد از فرهنگ شفاهی مکریان تا پایان حرف خ چاپ و منتشر شده‌است.,0,20,23,28
موظف,یک قانون گریز به هنجارها احترام نمی‌گذارد و ممکن است این یک حالت روانی که به سبب تحت فشارهای اجتماعی بودن و یا اینکه خاطرات بد از قانون پردازان مانند پلیس و یا نهادهای اجتماعی دیگر که موظف به اعمال قانون هستند باشد هرچه اجرا کنندگان قانون سختگیرانه‌تر عمل کنند قانون گریزی در اجتماع بیشتر نمایان خواهد شد.,0,0,184,187
لاکتوز,ایزوله: نوع فرآوری شده که چربی و لاکتوز آن تا حدود زیادی حذف‌شده و نود درصد از وزن آن را پروتئین خالص تشکیل می‌دهد.,1,80,33,38
بانو,ال بانو ترانه‌ای از انریکه ایگلسیاس و بد بانی است که ۱۲ ژانویه ۲۰۱۸ توسط شرکت سونی میوزیک منتشر شد.,0,0,3,6
سلف,وی پایه‌گذار انتشارات مک‌فدن و سلف چارلز اطلس و جک لالین بود.,0,20,31,33
مشکین,سبلان‌کندی دهی است از دهستان مشکین غربی بخش مرکزی شهرستان مشگین‌شهر واقع در ۱۲ کیلومتری جنوب مشگین‌شهر و ۱۰ کلومتری جاده مشگین‌شهر به اهر.,0,40,29,33
تمثیل,این نقاشی تمثیل از بهار است که در آن یک زن برهنه که نمایانگر بهار است روی یک ماه خیس ایستاده و در حال پاشیدن ستاره‌ها در آسمان است.,0,40,10,14
